,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
34,"Betini, GS and Wang, XQ and Fryxell, JM",Transgenerational plasticity mediates temperature effects on fitness in the water flea Daphnia magna,2020,N,Not bird,,,
35,"Auld, JR and Houser, R",Age-dependent effects of predation risk on reproductive success in a freshwater snail,2015,N,Not bird,,,
36,"Hsieh, FS",Patterns of age-specific mortality and molding of senescence by natural selection derived via the life-history regression model,2003,N,Not trans-generational,,,
37,"Zeineddine, M and Jansen, VAA","TO AGE, TO DIE: PARITY, EVOLUTIONARY TRACKING AND COLE'S PARADOX",2009,N,Not trans-generational,,,
38,"Gamelon, M and Focardi, S and Gaillard, JM and Gimenez, O and Bonenfant, C and Franzetti, B and Choquet, R and Ronchi, F and Baubet, E and Lemaitre, JF",Do age-specific survival patterns of wild boar fit current evolutionary theories of senescence?,2014,N,Not bird & trans-generational,,,
39,"Lloyd, P and Martin, TE and Taylor, A and Braae, A and Altwegg, R","Age, sex and social influences on adult survival in the cooperatively breeding Karoo Scrub-robin",2016,N,Not trans-generational,,,
40,"Dantzer, B and Fletcher, QE",Telomeres shorten more slowly in slow-aging wild animals than in fast-aging ones,2015,N,Not trans-generational,,,
41,"Rubach, KK and Dobson, FS and Zinner, B and Murie, JO and Viblanc, VA",Comparing fitness measures and the influence of age of first reproduction in Columbian ground squirrels,2020,N,Not bird,,,
42,"Bouwhuis, S and Choquet, R and Sheldon, BC and Verhulst, S","The Forms and Fitness Cost of Senescence: Age-Specific Recapture, Survival, Reproduction, and Reproductive Value in a Wild Bird Population",2012,N,Not trans-generational,,,
43,"Kraus, C and Thomson, DL and Kunkele, J and Trillmich, F",Living slow and dying young? Life-history strategy and age-specific survival rates in a precocial small mammal,2005,N,Not bird,,,
44,"Ricklefs, RE and Tsunekage, T and Shea, RE",Annual adult survival in several new world passerine birds based on age ratios in museum collections,2011,N,Not trans-generational,,,
